NPP Category,OMB Category,Tax Expenditure Name,Year,Original Name,Corporate,Individual,Total for 1981 and 1982,Original OMB Category
Commerce,International affairs,Deferral of income of domestic international sales corporations (DISC),1977,,945,,,Agriculture
Interest on Debt,Interest,Deferral of interest on US savings bonds,1977,Deferral of interest on savings bonds,,585,,Commerce and housing
Transportation,Transportation,Deferral of tax on shipping companies,1977,Deferal of interest on savings bonds,130,,,Community and Regional Development
Housing & Community,Commerce and Housing,Depreciation on buildings (other than rental housing) in excess of straight line,1977,,160,140,,Income security
Housing & Community,Commerce and Housing,Depreciation on rental housing in excess of straight line,1977,,80,320,,Income security
Commerce,Commerce and Housing,Dividend exclusion,1977,,,450,,Veterans benefits and services
"Social Security, Unemployment & Labor",Income security,Earned income tax credit,1977,Earned income credit,,365,,Veterans benefits and services
Commerce,Commerce and Housing,Excess bad debt reserves of financial institutions,1977,,535,,,"Education, training, employment, and social services"
Commerce,Commerce and Housing,Excess first-year depreciation,1977,,45,140,,"General science, space, and technology"
Energy & Environment,Energy,Excess of percentage over cost depletion,1977,,1090,305,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Excess of percentage standard deduction over minimum standard deduction,1977,,,530,,
Military,National defense,Exclusion of benefits and allowances to armed forces personnel,1977,,,1095,,Income security
Housing & Community,Income security,Exclusion of capital gains on home sales for persons age 65 and over,1977,,,40,,
Housing & Community,"Education, training, employment, and social services",Exclusion of contributions to prepaid legal services plans,1977,,,5,,Income security
"Social Security, Unemployment & Labor",Income security,Exclusion of disability pay,1977,,,110,,
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Exclusion Of Employee Meals And Lodging (Other Than Military),1977,,,280,,General purpose fiscal assistance
Medicare & Health,Health,Exclusion of employer contributions for medical insurance premiums and medical care,1977,,,5560,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Veterans' benefits and services,Exclusion of GI bill benefits,1977,,,260,,Agriculture
International affairs,International affairs,Exclusion of income earned abroad by US citizens,1977,,,545,,Commerce and housing
"Social Security, Unemployment & Labor",Commerce and Housing,Exclusion of interest on life insurance savings,1977,,,1850,,Natural resources and environment
Government,General purpose fiscal assistance,Exclusion of interest on public purpose State and local bonds,1977,Exclusion of interest on general purpose State and local debt ,3105,1725,,"Education, training, employment, and social services"
Energy & Environment,Natural resources and environment,Exclusion of interest on State and local government pollution control bonds,1977,,170,85,,"Education, training, employment, and social services"
Housing & Community,Commerce and Housing,Exclusion of interest on State and local industrial development bonds,1977,,195,95,,"Education, training, employment, and social services"
Veterans Benefits,Income security,Exclusion of military disability pensions,1977,,,105,,Energy
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on accident and disability insurance,1977,,,70,,International affairs
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on group term life insurance,1977,,,860,,International affairs
Energy & Environment,Natural resources and environment,"Exclusion of payments in aid of construction of water, sewage, gas and electric utilities",1977,,15,,,Transportation
"Social Security, Unemployment & Labor",Income security,Exclusion of public assistance benefits,1977,,,330,,Energy
"Social Security, Unemployment & Labor",Income security,Exclusion of railroad retirement system benefits,1977,,,250,,Natural resources and environment
Education,"Education, training, employment, and social services",Exclusion of scholarship and fellowship income (normal tax method),1977,,,245,,Commerce and housing credit
"Social Security, Unemployment & Labor",Social Security,Exclusion of social security benefits: Social Security benefits for disabled workers,1977,Exlcusion of social security benefits: Disability Insurnace Benefits,,470,,Commerce and housing
"Social Security, Unemployment & Labor",Social Security,Exclusion of social security benefits: Social Security benefits for retired workers ,1977,Exlcusion of social security benefits: OASI benefits for aged,,3790,,Energy
"Social Security, Unemployment & Labor",Social Security,"Exclusion of social security benefits: Social Security benefits for spouses, dependents and survivors",1977,Exlcusion of social security benefits: Benefits for dependents and survivors,,860,,Energy
"Social Security, Unemployment & Labor",Income security,Exclusion of special benefits for disabled coal miners,1977,,,50,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Exclusion of unemployment insurance benefits,1977,,,1500,,"Education, training, employment, and social services"
Veterans Benefits,Veterans' benefits and services,Exclusion of veterans death benefits and disability compensation,1977,Exclusion of veterans disability compensation ,,745,,Income security
Veterans Benefits,Veterans' benefits and services,Exclusion of veterans pensions,1977,,,35,,Business investment
"Social Security, Unemployment & Labor",Income security,Exclusion of workers' compensation benefits,1977,Exclusion of workmen's compensation benefits.........,,720,,Commerce and housing credit
